Song	Album	Year	Notes
Feel So Good	Unreleased single	1970	Played by the band as early as September 1970
Keep in Line	Unreleased single	1970	Played by band as early as September 1970
Love Light	Unreleased single	1970	Played by band as early as September 1970
Marguerite	Unreleased single	1970	Played by band as early as September 1970
Mike's Idea	Unreleased single	1970	Played by band as early as September 1970
Morning Star	Unreleased single	1970	Played by band as early as September 1970
Number One	Unreleased single	1970	Played by band as early as September 1970
Run Willie Run	Unreleased single	1970	Played by the band as early as September 1970. Southern R&B song about a young guy who's running from the law.
Sing Guitar	Unreleased single	1970	Played by band as early as September 1970
Slaughterhouse	Unreleased single	1970	Played during the band's bar period, approximately 1970-1973
Tale	Unreleased single	1970	Played by band as early as September 1970
Not Fade Away	Non-album single	1973	Drummer: John Rutsey; First single released and Buddy Holly cover
You Can't Fight It	Non-album single	1973	Drummer: John Rutsey; First original song released and B Side of Not Fade Away; Music: Geddy Lee; Lyrics: John Rutsey
I've Been Runnin'	R40	1974	Drummer: John Rutsey; Previously unreleased early song, featured as bonus material on the 2014 compilation R40. Disk 6 Bonus Disk.
The Loser	R40	1974	Drummer: John Rutsey; Previously unreleased early song, featured as bonus material on the 2014 compilation R40. Disk 6 bonus disk.
Before and After	Rush	1974	Drummer: John Rutsey
Finding My Way	Rush	1974	Drummer: John Rutsey
Here Again	Rush	1974	Drummer: John Rutsey; Lyrics: Alex Lifeson
In the Mood	Rush	1974	Drummer: John Rutsey
Need Some Love	Rush	1974	Drummer: John Rutsey
Take a Friend	Rush	1974	Drummer: John Rutsey
What You're Doing	Rush	1974	Drummer: John Rutsey
Working Man	Rush	1974	Drummer: John Rutsey; First song with US radio play (WMMS radio in Cleveland, Ohio)
Bad Boy	Rush ABC: Live from Cleveland's Agora Ballroom	1974	Officially released in 2011; released as a bootleg in 2001; recorded in 1974; Larry Williams cover
Fancy Dancer	Rush ABC: Live from Cleveland's Agora Ballroom	1974	Officially released in 2011; released as a bootleg in 2001; recorded in 1974; About a love gone bad
Garden Road	Rush ABC: Live from Cleveland's Agora Ballroom	1974	Excerpt played at the very end of Working Man on the R40 Tour in 2015; Officially released in 2011; released as a bootleg in 2001; recorded in 1974; played by band in 1970; Alludes to finding happiness with an early love
Bastille Day	Caress of Steel	1975	Inspired by the storming of the Bastille in French history.
I Think I'm Going Bald	Caress of Steel	1975	Discusses aging. Neil Peart chose the title of the track based on Alex Lifeson always being worried about his potential hair loss.
Lakeside Park	Caress of Steel	1975	Inspired by an amusement park in Port Dalhousie, Ontario
The Fountain of Lamneth	Caress of Steel	1975	I. In the Valley; II. Didacts and Narpets; III. No One at the Bridge; IV. Panacea; V. Bacchus Plateau; VI. The Fountain
The Necromancer	Caress of Steel	1975	I. Into the Darkness; II. Under the Shadow; III. Return of the Prince; Inspired by the fictional character Sauron from The Hobbit by J.R.R. Tolkien
Anthem	Fly by Night	1975	...the name of our record company, which is Anthem Records in Canada, came from this song. Neil was in an Ayn Rand period, so he wrote the song about being very individual. We thought we were doing something that was different from everybody else. ~ Alex Lifeson
Beneath, Between, and Behind	Fly by Night	1975	First song co-written by Geddy Lee, Alex Lifeson, and Neil Peart
Best I Can	Fly by Night	1975	Played by band as early as 1974, prior to Neil Peart being a member, although Peart is the drummer on the studio release.
By-Tor and the Snow Dog	Fly by Night	1975	I. At the Tobes of Hades; II. Across the Styx; III. Of the Battle (a. Challenge and Defiance, b. 7/4 War Furor, c. Aftermath, d. Hymn of Triumph); IV. Epilogue
In the End	Fly by Night	1975	A song about coming home after being on the road
Making Memories	Fly by Night	1975	Written on the road where the band got lost somewhere around Indiana.
Rivendell	Fly by Night	1975	Inspired by Rivendell, a fictional realm created by author J.R.R. Tolkien
Fly by Night	Fly By Night	1975	Considered the most pop-like piece on the album
2112	2112	1976	I. Overture; II. The Temples of Syrinx; III. Discovery; IV. Presentation; V. Oracle: The Dream; VI. Soliloquy; VII. “Grand Finale
A Passage to Bangkok	2112	1976	Inspired by A Passage to India by E. M. Forster, the song describes a dreamlike journey around the world in search of marijuana fields, with an allusion to Acapulco Gold.
Lessons	2112	1976	Alex Lifeson has sole songwriting credit which is rare for the band.
Something for Nothing	2112	1976	Inspired by writing found on a building near Shrine Auditorium in Los Angeles, California that read: Freedom isn't free.
Tears	2112	1976	Keyboards: Hugh Syme; Lyrics: Geddy Lee
The Twilight Zone	2112	1976	Inspired by The Twilight Zone television anthology series written and hosted by Rod Serling.
A Farewell to Kings	A Farewell to Kings	1977	Title adapted from Ernest Hemingway's novel A Farewell to Arms.
Cinderella Man	A Farewell to Kings	1977	Inspired by Mr. Deeds Goes to Town.
Closer to the Heart	A Farewell to Kings	1977	Lyrics co-written by Neil Peart and Peter Talbot
Cygnus X-1 Book I: The Voyage	A Farewell to Kings	1977	Inspired by a Time Magazine article on black holes.
Madrigal	A Farewell to Kings	1977	A madrigal is a secular vocal music composition
Xanadu	A Farewell to Kings	1977	Inspired by the poem Kubla Khan written by Samuel Taylor Coleridge
Circumstances	Hemispheres	1978	Written by Neil Peart about his experience on his own at 18 years old in England.
Cygnus X-1 Book II: Hemispheres	Hemispheres	1978	I. Prelude; II. Apollo; III. Dionysus; IV. Armageddon; V. Cygnus; VI. The Sphere
La Villa Strangiato	Hemispheres	1978	I. Buenos Nochus, Mein Froinds!; II. To sleep, perchance to dream...; III. Strangiato theme; IV. A Lerxst in Wonderland; V. Monsters!; VI. The Ghost of the Aragon; VII. Danforth and Pape; VIII. The Waltz of the Shreves; IX. Never turn your back on a Monster!; X. Monsters! (Reprise); XI. Strangiato theme (Reprise); XII. A Farewell to Things. An instrumental based on dreams of Alex Lifeson
The Trees	Hemispheres	1978	Inspired by Dr. Seuss's The Lorax.
Different Strings	Permanent Waves	1980	Piano: Hugh Syme
Entre Nous	Permanent Waves	1980	French expression translated as between us
Freewill	Permanent Waves	1980	[Musically], the song is a new thing for us in terms of time signatures. [The piece is mostly in 13/4.] We experiment a lot with time signatures. We work in nearly every one of them that I know of that's legitimate: all of the 5s, 7s, 9s, 11s, 13s, and combinations thereof. ~ Neil Peart
Jacob's Ladder	Permanent Waves	1980	Inspired by crepuscular rays, also known as Jacob's ladder.
Natural Science	Permanent Waves	1980	I. Tide Pools; II. Hyperspace; III. Permanent Waves
The Spirit of Radio	Permanent Waves	1980	Inspired by a slogan of Toronto radio station CFNY, which was the first station to play a Rush song over the air.
Broon's Bane	Exit...Stage Left	1981	Guitar solo; Named after long-time producer Terry Brown whom the band had nicknamed Broon.
Limelight	Moving Pictures	1981	Inspired by the experience of being a touring musician.
Red Barchetta	Moving Pictures	1981	Inspired by 'A Nice Morning Drive', by Richard S. Foster
The Camera Eye	Moving Pictures	1981	Comprises two movements, focusing on New York City and London, respectively.
Tom Sawyer	Moving Pictures	1981	Co-written by Pye Dubois. Inspired by the fictional character Tom Sawyer created by Mark Twain; The quintessential Rush song.
Vital Signs	Moving Pictures	1981	Inspired by the language of electronics and computers.
Witch Hunt	Moving Pictures	1981	Fear: Part III
YYZ	Moving Pictures	1981	Inspired by the International Air Transport Association airport code for the Toronto Pearson International Airport; Pronounced Y-Y-Zed.
Chemistry	Signals	1982	First time all three of members of the band collaborated on the lyrics.
Countdown	Signals	1982	Inspired by the STS-1 Space Shuttle flight.
Digital Man	Signals	1982	The digital man character was running in the fast lane, faster than life. ~ Neil Peart
Losing It	Signals	1982	Electric Violins: Ben Mink
New World Man	Signals	1982	Billboard Hot 100 highest charting single for the band (#21; 30 Oct 1982)
Subdivisions	Signals	1982	About growing up in the suburbs.
The Analog Kid	Signals	1982	About growing up in the age of analog.
The Weapon	Signals	1982	Fear: Part II
Afterimage	Grace Under Pressure	1984	In memory of Robbie Whelan (a friend of the band) who died in a car accident near the studio where the band recorded the album.
Between the Wheels	Grace Under Pressure	1984	The idea of 'Between the Wheels' was really kind of the opposite of 'Digital Man,' where life goes faster than a person does. ~ Neil Peart
Distant Early Warning	Grace Under Pressure	1984	Title refers to the systems that are part of the North American Aerospace Defense Command.
Kid Gloves	Grace Under Pressure	1984	1983 was a tough year for us. The last tour was a grind, and everybody had been going through some changes. Before Peter [Henderson, the producer of Grace Under Pressure] we had a couple of other people in mind we wanted to work with [namely, Steve Lillywhite, producer of U2], but things got screwed up along the way and there was a bit of a panic. 'Kid Gloves' is our response to rolling with the punches during pressure. ~ Alex Lifeson
Red Lenses	Grace Under Pressure	1984	Song that uses alliteration regarding the word red.
Red Sector A	Grace Under Pressure	1984	Addresses imprisonment in Nazi concentration camps.
The Body Electric	Grace Under Pressure	1984	Title derived from the poem I Sing the Body Electric by Walt Whitman and a novel of the same name by Ray Bradbury.
The Enemy Within	Grace Under Pressure	1984	Fear: Part I
Emotion Detector	Power Windows	1985	Originally intended to be a ballad.
Grand Designs	Power Windows	1985	Inspired by the District of Columbia trilogy book The Grand Design written by John Dos Passos.
Manhattan Project	Power Windows	1985	Inspired by the Manhattan Project research and development project which produced the first atomic bombs.
Marathon	Power Windows	1985	The song 'is about the triumph of time and a kind of message to myself, because I think life is too short for all the things that I want to do. There's a self-admonition saying that life is long enough. You can do a lot, just don't burn yourself out too fast trying to do everything at once. 'Marathon' is a song about individual goals and trying to achieve them. And it's also about the old Chinese proverb: 'The journey of a thousand miles begins with one step.' ~ Neil Peart
Middletown Dreams	Power Windows	1985	Inspired by writer Sherwood Anderson and painter Paul Gaugin.
Mystic Rhythms	Power Windows	1985	Inspired by astrology.
Territories	Power Windows	1985	Inspired by New Territories in Hong Kong.
The Big Money	Power Windows	1985	Inspired by the U.S.A. trilogy book The Big Money written by John Dos Passos.
Force Ten	Hold Your Fire	1987	Co-written by Pye Dubois. Inspired by the Beaufort scale wind speed rating.
High Water	Hold Your Fire	1987	Inspired by mankind's evolution from water-dwelling creatures.
Lock and Key	Hold Your Fire	1987	Inspired by the killer instinct found in humanity.
Mission	Hold Your Fire	1987	Inspired by the struggles of Vincent van Gogh, Virginia Woolf, and F. Scott Fitzgerald.
Open Secrets	Hold Your Fire	1987	The lyric 'That's not what I meant at all' is from the T.S. Eliot poem, The Love Song of J. Alfred Prufrock.
Prime Mover	Hold Your Fire	1987	Inspired by Aristotle and Plato.
Second Nature	Hold Your Fire	1987	Articulates a moderating of Neil Peart's environmental goals over time (according to his book Roadshow).
Tai Shan	Hold Your Fire	1987	Inspired by Mount Tai.
Time Stand Still	Hold Your Fire	1987	Vocals (additional): Aimee Mann
Turn the Page	Hold Your Fire	1987	I had a major problem with playing 'Turn the Page' live on tour. It's a very busy bass part, and the vocal part doesn't really relate to it very much. Eventually I got it, but it took a lot of practice. ~ Geddy Lee
The Rhythm Method	A Show of Hands	1989	Drum solo
Anagram	Presto	1989	Subtitled For Mongo as a tribute to the Mel Brooks film Blazing Saddles which contains a scene when the character Bart calls out Candygram for Mongo.
Available Light	Presto	1989	On a tune like 'Available Light,' where the bass just provides some simple, low-end support, I'd rather play the keyboards and sing. It's just a question of what instrument will be rewarding to play from a player's point of view... ~ Geddy Lee
Chain Lightning	Presto	1989	...the whole idea of the song was response and how people respond to things...a lot of the thrust of that song is how things are transferred, like chain lightning or enthusiasm or energy or love are things that are contagious, and if someone feels them, they are easily transferable to another person,...'Reflected in another pair of eyes' is the idea that it's a wonderful thing already,...but if there's someone else there with you to share it, then it multiplies, you know, it becomes exponentially a bigger experience... ~ Neil Peart
Hand Over Fist	Presto	1989	Inspired by the game Rock-paper-scissors.
Presto	Presto	1989	I had used 'Presto' in an ironic sense, in wishing that I had magic powers to make things right. And I really just liked the word.
Red Tide	Presto	1989	Inspired by the phenomenon known as a Red tide.
Scars	Presto	1989	I think it's part of everyone's experience that a certain record reflects a certain period of their life, and that's a pleasurable scar, you know, there's a mark left on you, a psychological fingerprint left by a very positive experience. And music is an easy one, but it translates to so many other parts of life where it's a given that, for instance, the sense of smell is one of the strongest forces in your memory, where a given smell will suddenly conjure up a whole time of your life, and again, it triggers another scar, it triggers another psychological imprint that was left by a pleasurable thing... ~ Neil Peart
Show Don't Tell	Presto	1989	Neil Peart's voice is mixed in low in the background on the lines, I will be the judge / Give the jury direction.
Superconductor	Presto	1989	The line That's Entertainment! refers to the film on musicals with the same name.
The Pass	Presto	1989	Speaks to the friends of those who have committed suicide.
War Paint	Presto	1989	Refers to cosmetic makeup and the psychological masks of youth.
Bravado	Roll the Bones	1991	We will pay the price, but we will not count the cost is a line from the book The Tidewater Tales by John Barth.
Dreamline	Roll the Bones	1991	Inspired by The Trinity Paradox by Kevin Anderson.
Face Up	Roll the Bones	1991	Inspired by card games with a wild card option.
Ghost of a Chance	Roll the Bones	1991	...'Ghost of a Chance' fit right in with my overall theme of randomness and contingency and so on, but at the same time it was a chance for me to write about love in a different way, of saying, 'Here are all these things that we go through in life and the people we meet, it's all by chance.... ~ Neil Peart
Heresy	Roll the Bones	1991	Inspired by the falling of the Berlin Wall.
Neurotica	Roll the Bones	1991	Some people can't deal with the world as it is, or themselves as they are, and feel powerless to change things—so they get all crazy. They waste away their lives in delusions, paranoia, aimless rage, and neuroses, and in the process they often make those around them miserable, too. Strained friendships, broken couples, warped children. I think they should all stop it. ~ Neil Peart
Roll the Bones	Roll the Bones	1991	Geddy Lee performs the rap section using a digitally lowered version of his voice.
The Big Wheel	Roll the Bones	1991	...It's where I've looked for a universal of that trade-off between innocence and experience, and (The Big Wheel) certainly addresses that.... ~ Neil Peart
Where's My Thing?	Roll the Bones	1991	Gangster of Boats Trilogy: Part IV
You Bet Your Life	Roll the Bones	1991	I particularly like the lyrics in 'You Bet Your Life.' I wove together all the different religions and musical styles and everything. Those kinds of things are really fun and satisfying.... ~ Neil Peart
Alien Shore	Counterparts	1993	The voice in the beginning of the song is Alex Lifeson holding his nostrils closed, saying 'out of my nose'.
Animate	Counterparts	1993	Addresses man's anima as defined by Carl Jung.
Between Sun and Moon	Counterparts	1993	Co-written by Pye Dubois. Pete Townshend can make an acoustic sound so heavy and powerful. I've always admired that. On 'Between Sun and Moon' there's a musical bridge before the solo that's very Who-ish. I even throw Keith Richards in there. The song is really a tribute to the '60s. ~ Alex Lifeson
Cold Fire	Counterparts	1993	I had been inspired, I think, by a Paul Simon song, where I wanted to couch song lyrics in conversation—he said, she said, and all that. Simon has a song, maybe on Rhythm of the Saints, where it's in conversation. ~ Neil Peart
Cut to the Chase	Counterparts	1993	Genius is the fire that lights itself. ~ Neil Peart
Double Agent	Counterparts	1993	...it's one of the goofiest songs I think we've ever written, but I'm quite happy with the result. In its own way, I think it's an interesting little piece of lunacy. ~ Geddy Lee
Everyday Glory	Counterparts	1993	This song ended up being an analog-tape mix. For the last few years I've mixed only to digital, because I figured it was just a better tape recorder. But certain songs have a heavier midrange content, and on playback the analog recorder softens the midrange a bit, giving it a more likable sound. ~ Geddy Lee
Leave That Thing Alone	Counterparts	1993	I think this is the best instrumental we've ever written. ~ Geddy Lee
Nobody's Hero	Counterparts	1993	Orchestration: Michael Kamen; Inspired in part by the death of a friend of Neil Peart, named Ellis.
Stick It Out	Counterparts	1993	I love the riff. It's a great riff song. I love playing it, and it's a very bass-heavy song, which always makes me happy. ~ Geddy Lee
The Speed of Love	Counterparts	1993	...a song about love, about the subject of it....demythologizing, debunking. ~ Neil Peart
Carve Away the Stone	Test for Echo	1996	Inspired by Sisyphus.
Dog Years	Test for Echo	1996	Inspired by the aging profile of dogs.
Driven	Test for Echo	1996	...is just from a bass player's point of view. I wrote that song with three tracks of bass. I brought it to Alex and said, 'Here's the song; I did three tracks of bass, but I just did that to fill in for the guitar,' and he said, 'Let's keep it with the three basses.' So, I said, 'I love you.' ~ Geddy Lee
Half the World	Test for Echo	1996	...is one of our finest moments as songwriters as far as writing a concise song without being wimpy or syrupy. It's got a little bit of everything: nice melody, and yet it's still aggressive. It's hard for us to write that kind of song, really. You'd have to go back to 'Closer to the Heart' to find an example of that.
Limbo	Test for Echo	1996	Instrumental with the inclusion of the line Whatever happened to my Transylvania twist? from the song Monster Mash by Bobby Boris Pickett and the Crypt-Kickers.
Resist	Test for Echo	1996	The instrument played at the beginning of the song is a hammer dulcimer.
Test for Echo	Test for Echo	1996	Co-written by Pye Dubois. The lyrics give a video-view of this wacky world of ours and offers this tacit response: 'Excuse me, does anybody else think this is weird? Am I weird?' While the answer to those questions might be 'Yes!' it's good to know that you're not the only one, that you're not alone. ~ Neil Peart
The Color of Right	Test for Echo	1996	Inspired by the legal term: colour of right.
Time and Motion	Test for Echo	1996	Inspire by music artists Soundgarden and Smashing Pumpkins.
Totem	Test for Echo	1996	The choruses in 'Totem' are really interesting. I created a soundscape by using harmonics with a kind of Celtic melody over it that's quite distant. In the song, in terms of dynamics, it's a really beautiful shift. ~ Alex Lifeson
Virtuality	Test for Echo	1996	Inspired by the concept of virtual reality.
The Rhythm Method 1997	Different Stages	1998	Drum solo
Ceiling Unlimited	Vapor Trails	2002	Inspired by the weather and aeronautical term referring to the height of the lowest obscuring cloud layer above the ground.
Earthshine	Vapor Trails	2002	Inspired by the reflected light phenomenon of earthshine.
Freeze	Vapor Trails	2002	Fear: Part IV
Ghost Rider	Vapor Trails	2002	Based on the self-imposed exile of Neil Peart after losing both his daughter and wife within a 10-month period.
How It Is	Vapor Trails	2002	The line foot upon the stair, shoulder to the wheel was inspired by Thomas Wolfe.
Nocturne	Vapor Trails	2002	Inspired by the issue What Do Dreams Want? in the periodical Utne Reader.
One Little Victory	Vapor Trails	2002	We fiddled with the order of the songs on Vapor Trails right up until the last minute. However, we never doubted which song would open the album, for One Little Victory made such an uncompromising announcement: They're ba-a-a-ack! ~ Neil Peart
